cidade,data,temperatura,descricao,nuvens,dados_climaticos_id
Manaus,2024-06-04 03:00:00,24,nuvens dispersas,47,3663517
Manaus,2024-06-04 06:00:00,24,nublado,73,3663517
Manaus,2024-06-04 09:00:00,23,nublado,100,3663517
Manaus,2024-06-04 12:00:00,25,nublado,95,3663517
Manaus,2024-06-04 15:00:00,31,nublado,95,3663517
Manaus,2024-06-04 18:00:00,32,chuva leve,71,3663517
Manaus,2024-06-04 21:00:00,29,chuva leve,17,3663517
Manaus,2024-06-05 00:00:00,27,nuvens dispersas,36,3663517
Manaus,2024-06-05 03:00:00,26,nublado,84,3663517
Manaus,2024-06-05 06:00:00,25,nuvens dispersas,40,3663517
Manaus,2024-06-05 09:00:00,24,algumas nuvens,12,3663517
Manaus,2024-06-05 12:00:00,27,algumas nuvens,17,3663517
Manaus,2024-06-05 15:00:00,31,algumas nuvens,12,3663517
Manaus,2024-06-05 18:00:00,33,algumas nuvens,14,3663517
Manaus,2024-06-05 21:00:00,28,chuva leve,80,3663517
Manaus,2024-06-06 00:00:00,25,chuva leve,48,3663517
Manaus,2024-06-06 03:00:00,25,chuva leve,85,3663517
Manaus,2024-06-06 06:00:00,24,chuva leve,88,3663517
Manaus,2024-06-06 09:00:00,24,nublado,95,3663517
Manaus,2024-06-06 12:00:00,25,nublado,97,3663517
Manaus,2024-06-06 15:00:00,30,nublado,94,3663517
Manaus,2024-06-06 18:00:00,31,chuva leve,82,3663517
Manaus,2024-06-06 21:00:00,29,chuva leve,49,3663517
Belém,2024-06-02 00:00:00,24,chuva moderada,64,3405870
Belém,2024-06-02 03:00:00,24,chuva leve,62,3405870
Belém,2024-06-02 06:00:00,23,nuvens dispersas,41,3405870
Belém,2024-06-02 09:00:00,23,algumas nuvens,20,3405870
Belém,2024-06-02 12:00:00,27,algumas nuvens,17,3405870
Belém,2024-06-02 15:00:00,32,céu limpo,10,3405870
Belém,2024-06-02 18:00:00,28,chuva leve,46,3405870
Belém,2024-06-02 21:00:00,26,chuva leve,30,3405870
Belém,2024-06-03 00:00:00,24,chuva leve,64,3405870
Belém,2024-06-03 03:00:00,23,nublado,70,3405870
Belém,2024-06-03 06:00:00,23,nublado,86,3405870
Belém,2024-06-03 09:00:00,23,chuva leve,50,3405870
Belém,2024-06-03 12:00:00,28,nublado,52,3405870
Belém,2024-06-03 15:00:00,32,chuva leve,49,3405870
Belém,2024-06-03 18:00:00,31,chuva leve,72,3405870
Belém,2024-06-03 21:00:00,26,chuva leve,57,3405870
Belém,2024-06-04 00:00:00,25,chuva leve,79,3405870
Belém,2024-06-04 03:00:00,24,chuva leve,100,3405870
Belém,2024-06-04 06:00:00,24,nublado,100,3405870
Belém,2024-06-04 09:00:00,24,nublado,93,3405870
Belém,2024-06-04 12:00:00,28,nublado,58,3405870
Belém,2024-06-04 15:00:00,32,algumas nuvens,16,3405870
Belém,2024-06-04 18:00:00,30,chuva leve,42,3405870
Belém,2024-06-04 21:00:00,25,chuva moderada,54,3405870
Belém,2024-06-05 00:00:00,24,chuva leve,55,3405870
Belém,2024-06-05 03:00:00,23,chuva leve,55,3405870
Belém,2024-06-05 06:00:00,23,chuva leve,40,3405870
Belém,2024-06-05 09:00:00,23,nuvens dispersas,27,3405870
Belém,2024-06-05 12:00:00,27,nublado,51,3405870
Belém,2024-06-05 15:00:00,30,chuva leve,50,3405870
Belém,2024-06-05 18:00:00,30,chuva leve,71,3405870
Belém,2024-06-05 21:00:00,25,chuva moderada,66,3405870
Belém,2024-06-06 00:00:00,24,chuva moderada,60,3405870
Belém,2024-06-06 03:00:00,23,chuva leve,46,3405870
Belém,2024-06-06 06:00:00,23,chuva leve,55,3405870
Belém,2024-06-06 09:00:00,23,nuvens dispersas,40,3405870
Belém,2024-06-06 12:00:00,27,nuvens dispersas,32,3405870
Belém,2024-06-06 15:00:00,32,nublado,96,3405870
Belém,2024-06-06 18:00:00,26,chuva leve,90,3405870
Belém,2024-06-06 21:00:00,25,chuva leve,34,3405870
Porto Velho,2024-06-02 00:00:00,27,algumas nuvens,14,3662762
Porto Velho,2024-06-02 03:00:00,26,nublado,55,3662762
Porto Velho,2024-06-02 06:00:00,25,nublado,87,3662762
Porto Velho,2024-06-02 09:00:00,22,nublado,63,3662762
Porto Velho,2024-06-02 12:00:00,25,nublado,68,3662762
Porto Velho,2024-06-02 15:00:00,32,nublado,84,3662762
Porto Velho,2024-06-02 18:00:00,35,nuvens dispersas,46,3662762
Porto Velho,2024-06-02 21:00:00,31,nuvens dispersas,39,3662762
Porto Velho,2024-06-03 00:00:00,28,nublado,72,3662762
Porto Velho,2024-06-03 03:00:00,25,nuvens dispersas,43,3662762
Porto Velho,2024-06-03 06:00:00,25,nublado,56,3662762
Porto Velho,2024-06-03 09:00:00,24,nublado,99,3662762
Porto Velho,2024-06-03 12:00:00,26,nublado,100,3662762
Porto Velho,2024-06-03 15:00:00,31,nublado,92,3662762
Porto Velho,2024-06-03 18:00:00,33,nublado,87,3662762
Porto Velho,2024-06-03 21:00:00,31,nublado,70,3662762
Porto Velho,2024-06-04 00:00:00,26,nublado,86,3662762
Porto Velho,2024-06-04 03:00:00,24,nublado,68,3662762
Porto Velho,2024-06-04 06:00:00,23,nublado,77,3662762
Porto Velho,2024-06-04 09:00:00,23,nublado,100,3662762
Porto Velho,2024-06-04 12:00:00,25,nublado,100,3662762
Porto Velho,2024-06-04 15:00:00,32,nublado,84,3662762
Porto Velho,2024-06-04 18:00:00,35,nublado,80,3662762
Porto Velho,2024-06-04 21:00:00,31,nublado,75,3662762
Porto Velho,2024-06-05 00:00:00,27,nublado,65,3662762
Porto Velho,2024-06-05 03:00:00,26,nublado,99,3662762
Porto Velho,2024-06-05 06:00:00,23,nublado,75,3662762
Porto Velho,2024-06-05 09:00:00,22,nublado,57,3662762
Porto Velho,2024-06-05 12:00:00,25,nublado,60,3662762
Porto Velho,2024-06-05 15:00:00,33,nublado,81,3662762
Porto Velho,2024-06-05 18:00:00,36,nublado,88,3662762
Porto Velho,2024-06-05 21:00:00,32,nublado,90,3662762
Porto Velho,2024-06-06 00:00:00,27,nublado,94,3662762
Porto Velho,2024-06-06 03:00:00,24,nublado,100,3662762
Porto Velho,2024-06-06 06:00:00,24,nublado,100,3662762
Porto Velho,2024-06-06 09:00:00,22,nublado,95,3662762
Porto Velho,2024-06-06 12:00:00,25,nublado,97,3662762
Porto Velho,2024-06-06 15:00:00,34,nublado,100,3662762
Porto Velho,2024-06-06 18:00:00,36,nublado,89,3662762
Porto Velho,2024-06-06 21:00:00,32,nuvens dispersas,45,3662762
Boa Vista,2024-06-02 00:00:00,26,chuva leve,60,3664980
Boa Vista,2024-06-02 03:00:00,25,chuva leve,80,3664980
Boa Vista,2024-06-02 06:00:00,24,chuva leve,100,3664980
Boa Vista,2024-06-02 09:00:00,23,chuva leve,63,3664980
Boa Vista,2024-06-02 12:00:00,25,chuva leve,67,3664980
Boa Vista,2024-06-02 15:00:00,27,chuva moderada,64,3664980
Boa Vista,2024-06-02 18:00:00,29,chuva leve,78,3664980
Boa Vista,2024-06-02 21:00:00,28,chuva leve,100,3664980
